Testcase,Ignore,FMAX[-]_ref,FMAX[-]_cur,FMAX[-]_Ratio,FMAX[-]_Win/Loss,LUTs[-]_ref,LUTs[-]_cur,LUTs[-]_Ratio,LUTs[-]_Win/Loss,SLICES[-]_ref,SLICES[-]_cur,SLICES[-]_Ratio,REGISTERS[-]_ref,REGISTERS[-]_cur,REGISTERS[-]_Ratio,DSPs[-]_ref,DSPs[-]_cur,DSPs[-]_Ratio,RAMB18[-]_ref,RAMB18[-]_cur,RAMB18[-]_Ratio,DIST_RAM[-]_ref,DIST_RAM[-]_cur,DIST_RAM[-]_Ratio
igt_aes_2.v3(aes_encrypt_2_protocol_decrypt)rtl/AboundLogic/igt/igt_aes_2.v3/benchmark_psp, ,310.94,325.3,1.05,W,93706,93837,1,-,21140,21100,1,159316,159318,1,0,0,1,0,0,1,136,136,1
MARS3in1_iter(MARS_TOP_ITER)rtl/cae/cust/nsa/MARS3in1_iter/benchmark_psp, ,35.04,36.32,1.04,-,14071,14074,1,-,2844,3476,1.22,3054,3054,1,7,7,1,0,0,1,0,0,1
oc_fpu(oc_fpu)rtl/cae/nda_altera/oc_fpu/benchmark_psp, ,15.94,15.31,0.96,-,4151,4152,1,-,719,703,0.98,579,579,1,2,2,1,0,0,1,0,0,1
igt_daubechies.v3(daubechies_wavelet_5_level_direct)rtl/AboundLogic/igt/igt_daubechies.v3/benchmark_psp, ,176.21,176.21,1,-,336529,336529,1,-,60382,60382,1,283720,283720,1,340,340,1,0,0,1,0,0,1
lms1(lms1)rtl/nbe/mathworks/signal_processing/lms1/benchmark_psp, ,56.4,56.4,1,-,3336,3336,1,-,773,773,1,1320,1320,1,81,81,1,0,0,1,0,0,1
Solution_1(packet_detect)rtl/cae/catapult_designs/Nokia/packet_detection/Catapult/Solution_1/benchmark_psp, ,179.85,189.17,1.05,W,3191,3173,0.99,-,607,575,0.95,1326,1323,1,39,39,1,0,0,1,0,0,1
ddc(ddc)rtl/nbe/mathworks/communications/ddc/benchmark_psp, ,49.22,49.22,1,-,5328,5328,1,-,1508,1508,1,6968,6968,1,234,234,1,16,16,1,0,0,1
open_aquarius(open_aquarius)rtl/cae/xilinx/open_aquarius/benchmark_psp, ,147.29,147.29,1,-,3686,3686,1,-,675,675,1,1436,1436,1,2,2,1,16,16,1,16,16,1
igt_fixpt_cordic.v3(fixed_point_cordic_processor)rtl/AboundLogic/igt/igt_fixpt_cordic.v3/benchmark_psp, ,246.06,246.18,1,-,77665,77676,1,-,15755,15636,0.99,104065,104065,1,14,14,1,0,0,1,0,0,1
SiemensVienna_C(CNN)rtl/customer/SiemensVienna_CNN/SiemensVienna_C/benchmark_psp, ,120.22,120.22,1,-,41639,41639,1,-,9500,9500,1,51256,51256,1,100,100,1,149,149,1,80,80,1
prss_encode(prss_encode)rtl/sqa/drs/dts0100515687/benchmark_psp, ,382.11,386.84,1.01,-,5642,5628,1,-,905,906,1,793,789,0.99,0,0,1,0,0,1,0,0,1
oc_video_compression_systems_dct(oc_video_compression_systems_dct)rtl/cae/nda_altera/oc_video_compression_systems_dct/benchmark_psp, ,563.06,563.06,1,-,726,726,1,-,303,303,1,1227,1227,1,64,64,1,0,0,1,0,0,1
mitsubishi(TOP)rtl/cae/cust/sim/mitsubishi/benchmark_psp, ,430.1,408.16,0.95,L,22709,22702,1,-,7145,7091,0.99,45385,45383,1,0,0,1,0,0,1,0,0,1
c_improve(c_improve)rtl/sqa/drs/dts0100309235/benchmark_psp, ,526.31,526.31,1,-,3837,3837,1,-,908,908,1,6776,6776,1,0,0,1,0,0,1,0,0,1
design_103(rijndael_top_pipe)rtl/cae/altera/design_103/benchmark_psp, ,105.71,105.71,1,-,24677,24677,1,-,4280,4280,1,3266,3266,1,0,0,1,0,0,1,0,0,1
design106(alt_fir_3_2_0)rtl/cae/altera/design106/benchmark_psp, ,888.88,888.88,1,-,2399,2399,1,-,647,647,1,7416,7416,1,3,3,1,0,0,1,0,0,1
TWOFISH_pipe(TWOFISH_TOP_PIPE)rtl/cae/cust/nsa/TWOFISH_pipe/benchmark_psp, ,144.55,144.55,1,-,36243,36243,1,-,6046,6046,1,8750,8750,1,0,0,1,0,0,1,0,0,1
alt_fir_3_2_0(alt_fir_3_2_0)rtl/cae/nda_altera/alt_fir_3_2_0/benchmark_psp, ,888.88,888.88,1,-,2399,2399,1,-,647,647,1,7416,7416,1,3,3,1,0,0,1,0,0,1
design_21(leon_subsys)rtl/cae/cust/me/design_21/benchmark_psp, ,316.45,316.45,1,-,2386,2386,1,-,386,386,1,1029,1029,1,0,0,1,8,8,1,240,240,1
igt_ifft_128.v3(iterative_inverse_fft_128)rtl/AboundLogic/igt/igt_ifft_128.v3/benchmark_psp, ,265.25,263.64,0.99,-,8884,8786,0.99,-,1994,1893,0.95,10795,10795,1,20,20,1,0,0,1,480,480,1
igt_reedsolom_16.v3(reed_solomon_parallel_16_byte_repair_leaf)rtl/AboundLogic/igt/igt_reedsolom_16.v3/benchmark_psp, ,259.6,255.36,0.98,-,83460,83416,1,-,16223,16169,1,98837,98837,1,215,215,1,0,0,1,448,448,1
m82801ide(m82801ide)rtl/cae/altera/m82801ide/benchmark_psp, ,291.54,301.11,1.03,-,4470,4464,1,-,804,772,0.96,2666,2662,1,0,0,1,0,0,1,0,0,1
Solution_1(fdct)rtl/cae/catapult_designs/Toshiba/fsm_crash/Catapult/Solution_1/benchmark_psp, ,209.11,218.19,1.04,-,2652,2657,1,-,466,508,1.09,984,984,1,33,33,1,0,0,1,0,0,1
jpeg_encoder(jpeg_encoder)rtl/nbe/altera/nda_shared/jpeg_encoder/benchmark_psp, ,292.14,301.56,1.03,-,2307,2308,1,-,662,672,1.02,3918,3944,1.01,126,126,1,0,0,1,0,0,1
design_50(set8full)rtl/cae/altera/design_50/benchmark_psp, ,284.17,284.17,1,-,522,522,1,-,218,218,1,1347,1347,1,64,64,1,0,0,1,0,0,1
Solution_4(merge_common_appli)rtl/cae/catapult_designs/ST/designA/Catapult/Solution_4/benchmark_psp, ,195.92,194.17,0.99,-,11825,11831,1,-,2515,2389,0.95,13715,13724,1,8,8,1,0,0,1,0,0,1
viterball(viterball)rtl/cae/altera/viterball/benchmark_psp, ,295.77,308.35,1.04,-,7066,7099,1,-,1637,1535,0.94,8973,8964,1,0,0,1,0,0,1,0,0,1
igt_noc_4.v3(noc_4_nodes_2_router)rtl/AboundLogic/igt/igt_noc_4.v3/benchmark_psp, ,535.61,495.04,0.92,L,21736,21746,1,-,4750,4748,1,34240,34237,1,0,0,1,0,0,1,32,32,1
SiemensVienna_C_xcvu(CNN)rtl/customer/SiemensVienna_CNN/SiemensVienna_C_xcvu/benchmark_psp, ,118.63,118.63,1,-,48411,48411,1,-,10743,10743,1,50930,50930,1,100,100,1,164,164,1,0,0,1
igt_noc_10.v3(noc_10_nl_nodes_2_router)rtl/AboundLogic/igt/igt_noc_10.v3/benchmark_psp, ,407.66,411.01,1.01,-,17739,17737,1,-,3660,3602,0.98,21830,21830,1,0,0,1,0,0,1,0,0,1
